longname,shortname,year,chapid
"Onof, C., Chandler, R.E. Kakou, A., Northrop, P., Wheater, H.S. and Isham, V. (2000), Rainfall modelling using Poisson-cluster processes: a review of developments, Stochastic Environmental Research and Risk Assessment, Volume 14(6), pp.384-411.",Onof et al,2000,b2_c6_r84
"Oriani, F., Straubhaar, J., Renard, P. and Mariethoz, G. (2014), Simulation of rainfall time series from different climatic regions using the direct sampling technique, Hydrology and Earth System Sciences, Volume 18(8), pp.3015-3031.",Oriani et al,2014,b2_c6_r85
"Over, T. M. and Gupta, V.K. (1996), A space-time theory of mesoscale rainfall using random cascades, J. Geophys. Res., 101(D21), 26319.",Over and Gupta,1996,b2_c6_r86
"Pathiraja, S., Westra, S. and Sharma, A. (2012), Why Continuous Simulation? The Role of Antecedent Moisture in Design Flood Estimation, Water Resources Research, 48(W06534).",Pathiraja et al,2012,b2_c6_r87
"Pegram, G.G.S. (1980), An Autoregressive Model for Multilag Markov Chains, Journal of Applied Probability, Volume 17(2), pp.350.",Pegram,1980,b2_c6_r88
"Pui, A., Lal, A. and Sharma, A. (2011), How does the Interdecadal Pacific Oscillation affect design floods in Australia?, Water Resources Research, Volume 47(5).",Pui et al,2011,b2_c6_r89
"Buishand, T.A. (1977), Stochastic modeling of daily rainfall sequences, Meded. Landbouwhogesch. Wageningen, Volume 77(3), pp.211",Buishand,1977,b2_c6_r9
"Pui, A., Sharma, A., Santoso, A. and Westra, S. (2012), Impact of the El Niño Southern Oscillation, Indian Ocean Dipole, and Southern Annular Mode on daily to sub-daily rainfall characteristics in East Australia, Monthly Weather Review, volume 140, pp.1665-1681.",Pui et al,2012,b2_c6_r90
"Racsko, P., Szeidl, L. and Semenov, M. (1991), A serial approach to local stochastic weather models, Ecological Modelling, Volume 57(1-2), pp.27-41.",Racsko et al,1991,b2_c6_r91
"Ramirez, J. A. and Bras, R.L. (1985), Conditional Distributions of Neyman-Scott Models for Storm Arrivals and Their Use in Irrigation Scheduling, Water Resources Research, Volume 21(3), pp.317-330.",Ramirez and Bras,1985,b2_c6_r92
"Richardson, C.W. (1981), Stochastic Simulation of Daily Precipitation, Temperature, and Solar-Radiation, Water Resources Research, Volume 17(1), pp.182-190.",Richardson,1981,b2_c6_r93
"Rodriguez-Iturbe, I., Gupta, V.K. and Waymire, E. (1984), Scale considerations in the modeling of temporal rainfall, Water Resources Research, Volume 20(11), pp.1611-1619.",Rodriguez-Iturbe et al,1984,b2_c6_r94
"Rodriguez-Iturbe, I., Cox, D.R. and Isham, V. (1987), Some Models for Rainfall Based on Stochastic Point Processes, Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences, Volume 410(1839), pp.269-288.",Rodriguez-Iturbe et al,1987,b2_c6_r95
"Rodriguez-Iturbe, I., Cox, D.R. and Isham, V. (1988), A Point Process Model for Rainfall: Further Developments, Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences, Volume 417(1853), pp.283-298.",Rodriguez-Iturbe et al,1988,b2_c6_r96
"Roldan, J., and Woolhiser, D.A. (1982), Stochastic daily precipitation models 1. A comparison of occurrence models, Water Resources Research, Volume 18(5), pp.1451-1459.",Roldan and Woolhiser,1982,b2_c6_r97
"Schertzer, D. and Lovejoy, S. (1987), Physical modeling and analysis of rain and clouds by anisotropic scaling multiplicative processes, J. Geophys. Res., Volume 92(D8), pp.9693.",Schertzer and Lovejoy,1987,b2_c6_r98
"Seed, A.W., Srikanthan, R. and Menabde, M. (1999), A space and time model for design storm rainfall, Journal of Geophysical Research-Atmospheres, Volume 104(D24), pp.31623-31630.",Seed et al,1999,b2_c6_r99
"Davies, J.R. and Yip, E. (2014), Pilbara Regional Flood Frequency Analysis, Proc. Hydrology and Water Resources Symposium, Perth, February 2014, Engineers Australia, pp.182-189.",Davies and Yip,2014,b3_c1_r1
"Flavell, D. (2012), Design Flood Estimation in Western Australia, Australian Journal of Water Resources, Volume 16(1) pp.1-20.",Flavell,2012,b3_c1_r2
"Hicks, B., Gray, S. and Ball, J.E. (2009), A Critical Review of the Urban Rational Method, Proceedings of H2009, 32nd Hydrology and Water Resources Symposium, Engineers Australia, ISBN 978-08258259461.",Hicks et al,2009,b3_c1_r3
"O'Loughlin, G.G. and Robinson, D.K., (1987), Urban stormwater drainage, Chapter 14 in Australian Rainfall and Runoff - A Guide to Flood Estimation, DH Pilgrim editor, I.E.Aust, Barton, ACT",O'Loughlin and Robinson,1987,b3_c1_r4
"Pilgrim, D.H., (1987), Estimation of Peak Flows for Small to Medium Sized Rural Catchments, Chapter 5 in Australian Rainfall and Runoff - A Guide to Flood Estimation, pub. by IEAust., Barton, ACT.",Pilgrim,1987,b3_c1_r5
"Adams, C.A. (1987), Design flood estimation for ungauged rural catchments in Victoria Road Construction Authority, Victoria. Draft Technical Bulletin.",Adams,1987,b3_c2_r1
"Baker, V., Pickup, G. and Polach, H.A. (1983) ,Desert paleofloods in central Australia. Nature, Volume 301, pp. 502-504.",Baker et al,1983,b3_c2_r10
"Beard, L.R (1960), Probability estimates based in small normal-distribution samples. Jour. of Geophysical Research, Volume 65, pp. 2143-2148.",Beard,1960,b3_c2_r11
"Beard, L.R. (1974), Flood flow frequency techniques Univ. of Texas at Austin, Center for Research in Water Resources, Tech. Report CRWR119, October.",Beard,1974,b3_c2_r12
"Beran, M., Hosking, J.R.M. and Arnell, N. (1986), Comment on 'Two-component extreme value distribution for flood frequency analysis.' Water Resources Research Volume 22, pp. 263-266.",Beran et al,1986,b3_c2_r13
"Blom, G. (1958), Statistical Estimates and Transformed Beta-Variables. Wiley, New York, p.176",Blom,1958,b3_c2_r14
"Clarke-Hafstad, K. (1942), Reliability of station-year rainfall-frequency determinations. Trans. Amer. Soc. Civ. Engrs, Volume107, pp. 633-652.",Clarke-Hafstead,1942,b3_c2_r15
"Cohn, T.A., England, J.F., Berenbrock, C.E., Mason, R.R., Stedinger, J.R. and Lamontagne, J.R. (2013), A generalized Grubbs-Beck test statistic for detecting multiple potentially influential low outliers in flood series, Water Resour. Res., 49, 5047-5058, doi:10.1002/wrcr.20392.",Cohn et al,2013,b3_c2_r16
"Conway, K.M. (1970), Flood frequency analysis of some N.S.W. coastal rivers. Thesis (M.Eng Sc.), Univ.NSW.",Conway,1970,b3_c2_r17
"Costa, J.E. (1978), Holocene stratigraphy in flood frequency analysis. Water Resources Research, Vol.ume 4, pp. 626-632.",Costa,1978,b3_c2_r18
"Costa, J.E. (1983), Palaeohydraulic reconstruction or flashflood peaks from boulder deposits in the Colorado Front Range. Geol. Soc. America Bulletin, Volume 94, AP. 986-1004.",Costa,1983,b3_c2_r19
"Adams, C.A. and McMahon, T.A. (1985), Estimation of flood discharge for ungauged rural catchments in Victoria. Hydrol. and Water Resources Symposium 1985, Inst Engrs Aust., Natl Conf. Publ. No. 85/2, pp. 86-90.",Adams and McMahon,1985,b3_c2_r2
"Costa, J.E. (1986), A history of paleoflood hydrology in the United States, 1800-1970. EOS Trans. Aoler Geophysical Union, Volume 67, No. 17, pp. 425-430.",Costa,1986,b3_c2_r20
"Cunnane, C. (1978), Unbiased plotting positions - a review. Jour. of Hydrology, Volume 37, pp. 205-222.",Cunnane,1978,b3_c2_r21
"Cunnane, C. (1985), Factors affecting choice of distribution for flood series. Hydrological Sciences Journal, Volume 30, pp. 25-36.",Cunnane,1985,b3_c2_r22
"Dalrymple, T. (1960), Flood-frequency analyses. Manual of Hydrology: Section 3. Flood-flow Techniques. U.S. Geological Survey Water Supply Paper 1543-A, 79 p.",Dalrymple,1960,b3_c2_r23
"DeGroot, M.H. (1970) Optimal statistcal decisions, McGraw-Hill",DeGroot,1970,b3_c2_r24
"Doran, D.G. and Irish, J.L. (1980), On the nature and extent of bias in flood damage estimation. Hydrol. and Water Resources Symposium 1980, Inst. Engrs Aust, Natl Conf. Publ. No. 80/9, pp. 135-139.",Doran and Irish,1980,b3_c2_r25
"Duan, Q., Sorooshian, S. and Gupta, V. (1992), Effective and efficient global optimization for conceptual rainfall-runoff models, Water Resources Research, 28(4), 1015-1031.",Duan et al,1992,b3_c2_r26
"Erskine, W. D. and Warner, R.F. (1988), Geomorphic effects of alternating flood and drought dominated regimes on a NSW coastal river, in Fluvial Geomorphology of Australia, edited by R.F. Warner, pp. 223-244, Academic Press, Sydney.",Erskine and Warner,1988,b3_c2_r27
"Fiering, M.B. (1963), Use of correlation to improve estimates of the mean and variance. U.S. Geological estimates of the mean and variance. U.S. Geological Survey Professional Paper 434-C.",Fiering,1963,b3_c2_r28
"Fiorentino, M., Versace, P. and Rossi, F. (1985), Regional flood frequency estimation using the two-component extreme value distribution. Hydrol. Sciences Jour., Volume 30, pp. 51-64.",Fiorentino et al,1985,b3_c2_r29
"Alexander, G.N. (1957), Flood flow estimation, probability and the return period. Jour. Inst. Engrs Aust, Volume 29, pp. 263-278.",Alexander,1957,b3_c2_r3
"Folland, C.K., Renwick, J.A., Salinger, M.J. and Mullan, A.B. (2002), Relative influences of the Interdecadal Pacific Oscillation and ENSO on the South Pacific Convergence Zone, Geophys. Res. Lett., 29(13), doi:10.1029/2001GL014201.",Folland et al,2002,b3_c2_r30
"Franks, S.W. and Kuczera, G. (2002), Flood Frequency Analysis: Evidence and Implications of Secular Climate Variability, New South Wales, Water Resources Research, 38(5), 10.1029/2001WR000232.",Franks and Kuczera,2002,b3_c2_r31
"Franks, S.W. (2002), Identification of a change in climate state using regional flood data, Hydrol. Earth Sys. Sci., Volume 6(1), pp.11-16.",Franks,2002,b3_c2_r32
"Franks, S.W. (2002), Assessing hydrological change: deterministic general circulation models or spurious solar correlation? Hydrol. Proc., Volume 16, pp.559-564.",Franks,2002,b3_c2_r33
"Gelman, A., Carlin, J.B., Stern, H.S. and Rubin, D.B. (1995), Bayesian data analysis, Chapman and Hall, p.526.",Gelman et al,1995,b3_c2_r34
"Hosking, J.R.M. (1990), L-moments: Analysis and estimation of distributions using linear combinations of order statistics, J. Roy. Statist. Soc., Ser. B Volume 52(2), pp.105-124.",Hosking,1990,b3_c2_r35
"Hosking, J.R.M. and Wallis, J.R, (1986) Paleoflood hydrology and flood frequency analysis. Water Resources Research, Volume 22, pp. 543-550.",Hosking and Wallis,1986,b3_c2_r36
"Houghton, J.C. (1978), Birth of a parent: The Wakeby distribution for modeling flood flows. Water Resources Research, Volume 14, pp. 1105-1109.",Houghton,1978,b3_c2_r37
"Interagency Advisory Committee on Water Data (1982), Guidelines for determining flood flow frequency. Bulletin 17B of the Hydrology Sub-committee, Office of Water Data Coordination, Geological Survey, U.S. Dept of the Interior.",Interagency Advisory Committee on Water Data,1982,b3_c2_r38
"Jayasuriya, M.D.A. and Mein, R.G. (1985), Frequency analysis using the partial series. Hydrol. and Water Resources Symposium 1985, Inst. Engrs Aust., Natl Conf. Publ. No. 85/2, pp. 81-85.",Jayasuriya and Mein,1985,b3_c2_r39
"Allan, R.J. (2000), ENSO and climatic variability in the last 150 years, in El Nino and the Southern Oscillation, Multi-scale variability, Global and Regional Impacts, edited by H.F. Diaz and V. Markgraf, Cambridge University Press, Cambridge, uk, pp.3-56.",Allan,2000,b3_c2_r4
"Kiem, A. S. and Franks, S.W. (2004), Multidecadal variability of drought risk - eastern Australia, Hydrol. Proc., 18, doi:10.1002/hyp.1460.",Kiem and Franks,2004,b3_c2_r40
"Kiem, A.S., Franks, S.W. and Kuczera, G. (2003), Multi-decadal variability of flood risk, Geophysical Research Letters, 30(2), 1035, DOI:10.1029/2002GL015992.",Kiem et al,2003,b3_c2_r41
"Kochel. R.C., Baker, V.R and Patton, P.C. (1982), Paleohydrology of southwestern Texas. Water Resources Research, Volume 18, pp. 1165-1183.",Kochel et al,1982,b3_c2_r42
"Kopittke, R.A., Stewart, B.J. and Tickle, K.S. (1976), Frequency analysis of flood data in Queensland. Hydrol. Symposium 1976, Inst Engrs Aust., Natl Conf. Publ. No. 76/2, pp. 20-24.",Kopittke et al,1976,b3_c2_r43
"Kuczera, G. (1996), Correlated rating curve error in flood frequency inference, Water Resources Research, Volume 32(7), pp.2119-2128",Kuczera ,1996,b3_c2_r44
"Kuczera, G. (1999), Comprehensive at-site flood frequency analysis using Monte Carlo Bayesian inference, Water Resources Research, Volume 35(5), pp.1551-1558.",Kuczera ,1999,b3_c2_r45
"Kuczera, G., Lambert, M.F., Heneker, T., Jennings, S., Frost, A. and Coombes, P. (2006), Joint probability and design storms at the crossroads, Australian Journal of Water Resources, Volume 10(2), pp.5-21.",Kuczera et al,2006,b3_c2_r46
"Lee, P.M. (1989), Bayesian statistics: An introduction, Oxford University Press (NY).",Lee,1989,b3_c2_r47
"Laurenson, E.M. (1987), Back to basics on flood frequency analysis. Civ. Engg Trans., Inst Engrs Aust, Volume CE29, pp. 47-53.",Laurenson,1987,b3_c2_r48
"Mantua, N. J., Hare, S.R., Zhang, Y., Wallace, J.M. and Francis, R.C. (1997), A Pacific interdecadal climate oscillation with impacts on salmon production, Bull. Amer. Meteorol. Soc., Volume 78(6), pp.1069-1079.",Mantua et al,1997,b3_c2_r49
"ASCE (American Society of Civil Engineers) (1949), Hydrology Handbook",ASCE,1949,b3_c2_r5
"Matalas, N.C. and Jacobs, B. (1964), A correlation procedure for augmenting hydrologic data. U. S. Geological Survey Professional Paper 434-E.",Matalas and Jacobs,1964,b3_c2_r50
"McDermott, G.E. and Pilgrim, D.H. (1982), Design flood estimation for small catchments in New South Wales. Dept of National Development and Energy, Aust Water Resources Council Tech. Paper No. 73, p.233",McDermott and Pilgrim,1982,b3_c2_r51
"McDermott, G.E. and Pilgrim, D.H. (1983), A design flood method for arid western New South Wales based on bankfull estimates. Civ. Engg Trans., Inst Engrs Aust, Volume CE25, pp. 114-120.",McDermott and Pilgrim,1983,b3_c2_r52
"McIllwraith, J.F. (1953), Rainfall intensity-frequency data for New South Wales stations. Jour. Inst Engrs Aust, Volume 25, pp. 133-139.",McIllwraith,1953,b3_c2_r53
"McMahon, T.A. (1979), Hydrologic characteristics of Australian streams. Civ. Engg Research Reports, Monash Univ., Report No. 3/1979.",McMahon,1979,b3_c2_r54
"McMahon, T.A. and Srikanthan, R. (1981), Log Pearson III distribution- is it applicable to flood frequency analysis of Australian streams? Jour. of Hydrology, Volume 52, pp. 139-147.",Mcmahon and Srikanthan,1981,b3_c2_r55
"Micevski, T., Kiem, A.S., Franks, S.W. and Kuczera, G. (2003), Multidecadal Variability in New South Wales Flood Data, Hydrology and Water Resources Symposium, Institution of Engineers, Australia, Wollongong.",Micevski et al,2003,b3_c2_r56
"Natural Environment Research Council (1975), Flood Studies Report, Vol. 1, Hydrological Studies. London",Natural Environment Research Council,1975,b3_c2_r57
"O'Connell, D.R., Ostemaa, D.A., Levish, D.R. and Klinger, R.E. (2002) Bayesian flood frequency analysis with paleohydrologic bound data, Water Resources Research, Volume 38(5), pp.1058, DOI:10.1029/2000WRR000028.",O'Connell et al,2002,b3_c2_r58
"Pedruco, P., Nielsen, C., Kuczera, G. and Rahman, A. (2014), Combining regional flood frequency estimates with an at site flood frequency analysis using a Bayesian framework: Practical considerations, Hydrology and Water Resources Symp., Perth, Engineers Australia.",Pedruco et al,2014,b3_c2_r59
"Ashkanasy, N.M. and Weeks, W.D. (1975), Flood frequency distribution in a catchment subject to two storm rainfall producing mechanisms. Hydrol. Symposium 1975, Inst Engrs Aust, Natl Conf. Publ. No. 75/3, pp. 153-157.",Ashkanasy and Weeks,1975,b3_c2_r6
"Pilgrim, D.H. and Doran, D.G. (1987), Flood frequency analysis, in Australian Rainfall and Runoff: A guide to flood estimation, Pilgrim, D.H. (ed), The Institution of Engineers, Australia, Canberra.",Pilgrim and Doran,1987,b3_c2_r60
"Pilgrim, D.H. and McDermott, G.E. (1982), Design floods for small rural catchments in eastern New South Wales. Civ. Engg Trans., Inst Engrs Aust., Volume CE24, pp. 226-234.",Pilgrim and McDermott,1982,b3_c2_r61
